"cik_code","form_type","doc_link","com_link","filing_date"
"878719","485APOS","http://www.sec.gov/Archives/edgar/data/878719/000113542810000011/aviva_485apos.txt","http://www.sec.govbrowse-edgar?action=getcompany&CIK=878719","2010-01-20"
"878719","485APOS","http://www.sec.gov/Archives/edgar/data/878719/000113542810000061/aic_485apos.txt","http://www.sec.govbrowse-edgar?action=getcompany&CIK=878719","2010-03-01"
"878719","485APOS","http://www.sec.gov/Archives/edgar/data/878719/000113542810000245/cambiar_485bapos.txt","http://www.sec.govbrowse-edgar?action=getcompany&CIK=878719","2010-06-30"
"1311981","485APOS","http://www.sec.gov/Archives/edgar/data/1311981/000116204410000329/adiron485apos201006.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=1311981","2010-06-01"
"844779","497K","http://www.sec.gov/Archives/edgar/data/844779/000089109213002469/e52665_497k.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=844779","2013-03-20"
"355916","485APOS","http://www.sec.gov/Archives/edgar/data/355916/000089109212006894/e50198_485apos.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=355916","2012-11-21"
"701039","497K","http://www.sec.gov/Archives/edgar/data/701039/000070103913000020/tcfgovac497k032013.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=701039","2013-03-20"
"701039","497K","http://www.sec.gov/Archives/edgar/data/701039/000070103913000021/tcfgovi497k032013.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=701039","2013-03-20"
"701039","497K","http://www.sec.gov/Archives/edgar/data/701039/000070103913000022/tcfhiyieldacy497k032013.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=701039","2013-03-20"
"701039","497K","http://www.sec.gov/Archives/edgar/data/701039/000070103913000023/tcfhiyieldi497k032013.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=701039","2013-03-20"
"701039","497K","http://www.sec.gov/Archives/edgar/data/701039/000070103913000024/tcfincomeabcy497k032013.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=701039","2013-03-20"
"701039","497K","http://www.sec.gov/Archives/edgar/data/701039/000070103913000025/tcfincomei497k032013.htm","http://www.sec.govbrowse-edgar?action=getcompany&CIK=701039","2013-03-20"
